Grade,Chapter,Context,Question,CorrectAnswer,UniquePart,Difficulty
10,Sources of Studying History,"As there are a number of sources which are available to study history, they are mainly divided into two: 1. Literary sources 2. Archaeological sources",What are the two main sources of studying history?,Literary sources and Archaeological sources.,Literary sources and Archaeological sources.,Easy
10,Sources of Studying History,Books and documents written at different time periods by the people who lived in the past are considered literary sources.,What are literary sources considered to be?,Books and documents written at different time periods by the people who lived in the past.,Books and documents,Easy
10,Sources of Studying History,Among the local literary sources in Sri Lanka Deepawamsa is considered the oldest text. Deepawamsa was written in about 4th century A.D... Mahawamsa is a text with several parts.,What is considered the oldest text among the local literary sources in Sri Lanka?,Deepawamsa.,Deepawamsa.,Medium
10,Sources of Studying History,"Mahawamsa is a text with several parts... After the first part of Mahawamsa was written by Mahanama Thero, some other writers extended Mahawamsa as a continuous text with several parts by including some information about their contemporary time periods from time to time.",Who wrote the first part of Mahawamsa?,Mahanama Thero.,Mahanama Thero,Easy
10,Sources of Studying History,"Relics, monuments, coins, inscriptions and various ruins which are unearthed from archaeological excavations and experiments are called archaeological sources.",What are the items found during archaeological excavations and experiments called?,Archaeological sources.,Archaeological sources.,Easy
10,Sources of Studying History,"Ancient ruins: Many ruins such as ancient buildings, stupas, stone pillars, tanks and ponds can be seen in Sri Lanka. These ruins, which are called archaeological monuments, are a very good source to study the history of this country. Anuradhapura is one such site.",What are the ancient ruins in Sri Lanka a good source for?,To study the history of this country.,study the history,Easy
10,Sources of Studying History,"The objects which are remaining now, after being created or used by the ancient people can be introduced as antiquities. Antiquities help us to understand many different aspects of the ancient people...",What do antiquities help us to understand ?,Antiquities help us to understand many different aspects of the ancient people.,different aspects of ancient people,Hard
10,Sources of Studying History,"Inscriptions... are important to understand the history of the ancient society and the expansion of settlements... After the 2nd century A.D. inscriptions were established to write records on various events such as offering premises to temples, administrating temples, informing government laws to people, charge taxes, trading, forgiving convicts, and appreciating the service of some people.",What were inscriptions used for in ancient societies after the 2nd century A.D.?,"Inscriptions were used to write records on various events such as offering premises to temples, administrating temples, informing government laws to people, charge taxes, trading, forgiving convicts, and appreciating the service of some people.",Ancient society records,Medium
10,Sources of Studying History,"Books and documents written... are considered literary sources. Relics, monuments, coins, inscriptions and various ruins... are called archaeological sources. Archaeological sources are mostly considered as contemporary ones to the historical events.",What are the two main categories of sources used in historical research?,"Books and documents are considered 'literary sources', while relics, monuments, coins, inscriptions, and various ruins are called 'archaeological sources'.",Literary and archaeological,Medium
10,Sources of Studying History,The first part of it was written by a Bhikku named Mahanama who lived in the Diksanda Seneviya Piriwena (monastery).,Who wrote the first part of the Mahawamsa?,A Bhikku named 'Mahanama'.,Bhikku named Mahanama,Easy
10,Sources of Studying History,Mahawamsa is considered a more credible historical source because some historical events recorded in it have been substantiated by the inscriptions and some other sources. The history of Sri Lanka has been written continuously in Mahawamsa.,Why is the Mahawamsa considered a credible historical source?,Because some historical events recorded in it have been substantiated by the inscriptions and some other sources.,Credible historical source,Hard
10,Sources of Studying History,"Archaeological sources are mostly considered as contemporary ones to the historical events. Accordingly, if the information mentioned in the literary sources is substantiated by the archaeological sources, that information can be considered credible.",What can be considered credible if the information mentioned in literary sources is substantiated by archaeological sources?,The information can be considered credible.,Credible historical source,Medium
10,Sources of Studying History,King Nisshankamalla's Galpotha inscription (stone) is an example.,What is an example of an inscription?,King Nisshankamalla's Galpotha inscription .,King Nisshankamalla's Galpotha,Medium
10,Sources of Studying History,"Many ruins such as ancient buildings, stupas, stone pillars, tanks and ponds can be seen in Sri Lanka... These ruins help us to gain a clear knowledge on various aspects such as creative ability, technology, building designing or architecture, craftsmanship, ability to conserve the environment and water management of the ancient people.",What can be learned from the ruins in Sri Lanka?,"Various aspects such as creative ability, technology, building designing or architecture, craftsmanship, ability to conserve the environment and water management of the ancient people.",Ancient people's skills,Medium
10,Sources of Studying History,"Epigraphy is a word used commonly to introduce writings on stones (Shila), clay slabs, walls, copper plates, golden plates, wood, and on various urns.",What are the common surfaces on which epigraphy is used?,"Stones, clay slabs, walls, copper plates, golden plates, wood, and urns.","Stones, copper plates, golden plates",Hard
10,Sources of Studying History,"In studying the economic condition, trade, and use of metals, coins are an immensely important source.","What is an important source in studying economic conditions, trade, and metal use?",Coins are an immensely important source.,coins,Medium
10,Sources of Studying History,"The objects which are remaining now, after being created or used by the ancient people can be introduced as antiquities. Antiquities help us to understand many different aspects of the ancient people, such as their abilities, skills, ancient culture, technology...",What do antiquities help us to understand ?,"Antiquities help us to understand many different aspects of the ancient people, such as their abilities, skills, ancient culture, technology...",ancient people's aspects,Hard
10,Sources of Studying History,Mahawamsa... records the historical information of this country... Deepawamsa consists of historical information of this country up to the end of King Mahasens ruling period and descriptions of the history of the Buddhist order (Sasana) in this country.,What is the purpose of the Deepawamsa?,It records the historical information of the country up to the end of King Mahasen's ruling period and descriptions of the history of the Buddhist order  in this country.,Records historical information,Medium
10,Sources of Studying History,Among the local literary sources in Sri Lanka Deepawamsa is considered the oldest text. Deepawamsa was written in about 4th century A.D. Deepawamsa consists of historical information of this country... and descriptions of the history of the Buddhist order (Sasana) in this country.,What is considered the oldest text among the local literary sources in Sri Lanka?,Deepawamsa.,Deepawamsa,Easy
10,Sources of Studying History,"Many ruins such as ancient buildings, stupas, stone pillars, tanks and ponds can be seen in Sri Lanka. (Anuradhapura and Polonnaruwa are two key historic sites.)",What are some examples of ruins that can be seen in Sri Lanka?,"Ancient buildings, stupas, stone pillars, tanks, and ponds.","Ancient buildings, stupas, stone pillars, tanks, and ponds.",Medium
10,Sources of Studying History,The oldest inscriptions in this country are named Brahmi inscriptions and they were written to record the events such as offering of caves to Bhikku.,What were the oldest inscriptions in this country used to record?,Events such as offering of caves to Bhikku.,offering of caves to Bhikku,Medium
10,Sources of Studying History,"These ruins help us to gain a clear knowledge on various aspects such as creative ability, technology, building designing or architecture, craftsmanship...",What can we learn from studying ancient ruins?,"We can gain a clear knowledge on various aspects such as creative ability, technology, building designing or architecture, craftsmanship...","Clear knowledge on creative ability, technology, building designing or architecture, craftsmanship",Medium
10,Sources of Studying History,"Relics, monuments, coins, inscriptions and various ruins which are unearthed from archaeological excavations and experiments are called archaeological sources. Many antiquities are discovered in excavations.",What are the items found in archaeological excavations and experiments called?,Archaeological sources.,Archaeological sources.,Easy
10,Sources of Studying History,"(This specific term is not in the text, so the context is the general study of age.) History is a subject which studies the past human activities. The sources, which belonged to each different age, provide us a good understanding about those eras.",What is the subject that studies the past human activities?,History.,History,Easy
10,Sources of Studying History,Coins were used in Sri Lanka from Anuradhapura era. The oldest coins found in this country are called  Kahapana.,When did coins start being used in Sri Lanka?,From the Anuradhapura era.,Anuradhapura era,Medium
10,Sources of Studying History,Historical sources in Sri Lanka are past reports rather than past events. And also there is a possibility of including the personal likes and dislikes of the authors of these books into the sources.,What is a limitation of historical sources in Sri Lanka?,Historical sources in Sri Lanka are past reports rather than past events.,past reports rather than past events.,Hard
10,Sources of Studying History,The oldest inscriptions in this country are named Brahmi inscriptions.,What are the oldest inscriptions in this country called?,They are called 'Brahmi inscriptions'.,Brahmi inscriptions,Easy
10,Sources of Studying History,"Accordingly, archaeological sources are useful to fill up what lacks in the literary sources, to obtain new information and to substantiate the information mentioned in the literary sources.",How do archaeological sources contribute to historical research?,"Archaeological sources are useful to fill up what lacks in the literary sources, to obtain new information and to substantiate the information mentioned in the literary sources.",fill up what lacks in the literary resources,Hard
10,Sources of Studying History,"After the first part of Mahawamsa was written by Mahanama Thero, some other writers extended Mahawamsa as a continuous text with several parts by including some information about their contemporary time periods from time to time. (The Chulavamsa is a later part of the Mahawamsa, making it a local literary source.)",Who extended the Mahawamsa as a continuous text?,Some other writers.,Some other writers.,Easy
10,Sources of Studying History,"Apart from the texts written by Sri Lankans, some books were written by foreigners who were interested in Sri Lanka... Thus, the books written by foreign writers mentioning information about Sri Lanka are called foreign literary sources. They are important to study the international relations of a country.",What are the books written by foreigners about Sri Lanka called?,They are called 'foreign literary sources'.,foreign literary sources,Easy
10,Sources of Studying History,Fa-Hsien Thero's travelling accounts (Account on Buddhist Kingdom) are listed as Chinese Sources. Fa-Hsien Thero arrived in Sri Lanka in the 5th century A.D.,Who arrived in Sri Lanka in the 5th century A.D.?,Fa-Hsien Thero.,Fa-Hsien Thero,Hard
10,Sources of Studying History,Inscriptions... were written to record the events such as offering of caves to Bhikku (monks).,What was the purpose of inscriptions in ancient times?,Inscriptions were written to record events such as offering of caves to Bhikku .,written to record events such as offering of caves,Medium
10,Sources of Studying History,"Antiquities help us to understand many different aspects of the ancient people, such as their abilities, skills, ancient culture, technology, foreign relations and their life style.",What do antiquities help us understand about ancient people?,"Antiquities help us understand many different aspects of the ancient people, such as their abilities, skills, ancient culture, technology, foreign relations and their life style.",ancient people's aspects,Medium
10,Sources of Studying History,"Relics, monuments, coins, inscriptions and various ruins which are unearthed from archaeological excavations and experiments are called archaeological sources.",What are the items found during archaeological excavations and experiments called?,Archaeological sources.,Archaeological sources.,Easy
10,Sources of Studying History,"What remains here for us as archaeological sources today is only the creations made of long lasting raw materials such as stone, metal and clay; or large scale creations such as tanks and canals.",What types of creations have survived for us to study as archaeological sources?,"Stone, metal, clay, tanks, and canals.","Stone, metal, clay, tanks, and canals.",Medium
10,Sources of Studying History,"After the 2nd century A.D. inscriptions were established to write records on various events such as offering premises to temples, administrating temples, informing government laws to people...",What was the purpose of inscriptions established after the 2nd century A.D.?,"To write records on various events such as offering premises to temples, administrating temples, informing government laws to people.","records on various events such as offering premises to temples, administrating temples, informing government laws to people.",Hard
10,Sources of Studying History,The first part of Mahawamsa consists of the historical information of this country from the arrival of the Lord Buddha to Sri Lanka up to the end of the ruling time of king Mahasen.,What is the time period of history written in the first part of Mahawamsa?,The historical information of Sri Lanka from the arrival of the Lord Buddha to the end of the ruling time of king Mahasen.,From arrival of the Lord Buddha to the end of the ruling time of king Mahasen,Hard
10,Sources of Studying History,"Antiquities are in the museums, religious places, and various institutions and in care of some people of this country.",Where are antiquities typically kept?,"In museums, religious places, and various institutions and in care of some people of this country.",In museums and institutions,Medium
10,Sources of Studying History,"In studying the economic condition, trade, and use of metals, coins are an immensely important source. Apart from the local coins, Roman coins, Chinese coins, and Indian coins are found in Sri Lanka.",What are some examples of coins found in Sri Lanka?,"Roman coins, Chinese coins, and Indian coins.","Roman coins, Chinese coins, and Indian coins",Medium
10,Sources of Studying History,"Antiquities are in the museums, religious places, and various institutions and in care of some people of this country.",Where are antiquities typically kept?,"In museums, religious places, and various institutions and in care of some people of this country.",In museums and institutions,Medium
10,Sources of Studying History,(Implied/General Knowledge: The National Museum of Colombo is the country's primary museum that displays historical artefacts.),What is the primary museum in Sri Lanka that displays historical artefacts?,The National Museum of Colombo.,National Museum of Colombo,Medium
10,Sources of Studying History,"Ancient literary and religious information as well as the Wamsakatha have been written on ola leaves. Sri Lanka inherits a tradition of talipots, which belonged to a long period of time.",What medium was used to record ancient literary and religious information in Sri Lanka?,Ola leaves.,Ola leaves.,Easy
10,Sources of Studying History,Chronicle: The history of Sri Lanka has been written continuously in Mahawamsa. Inscription: Epigraphy is a word used commonly to introduce writings on stones...,What is the term used to introduce writings on stones?,Epigraphy.,Epigraphy,Medium
10,Sources of Studying History,"The objects which are remaining now, after being created or used by the ancient people can be introduced as antiquities... Antiquities help us to understand many different aspects of the ancient people...",What do antiquities help us to understand about ancient people?,Many different aspects of the ancient people.,Many different aspects,Medium
10,Sources of Studying History,"Panakaduwa Copper Plate of King Vijayabahu I is an example of an inscription written on a copper plate, granted to an officer named Sithnarubima Budalna with gratitude for his loyalty to the king.",Who was the officer granted the Panakaduwa Copper Plate by King Vijayabahu I?,Sithnarubima Budalna.,Budalna,Medium
10,Sources of Studying History,"There is a possibility of these valuable sources getting destroyed due to speedy urbanization, expansion of settlements... Therefore, it is a responsibility of the citizens of the country to protect them as the present generation.",What is the responsibility of citizens in protecting valuable sources?,It is the responsibility of the citizens of the country to protect them for future  generations.,Protect valuable sources for future generations,Medium
10,Sources of Studying History,The first part of Mahawamsa was written by a Bhikku named Mahanama...,Who is believed to have written the first part of Mahawamsa?,A Bhikku named 'Mahanama'.,Bhikku named Mahanama,Medium
10,Sources of Studying History,"The sources, which belonged to each different age, provide us a good understanding about those eras and their social backgrounds.",What do the sources provide us with?,A good understanding about those eras and their social backgrounds.,A good understanding about those eras and their social backgrounds.,Easy
10,Sources of Studying History,"Many ruins such as ancient buildings, stupas, stone pillars, tanks and ponds can be seen in Sri Lanka... These ruins, which are called archaeological monuments, are a very good source to study the history of this country.",What are the ruins in Sri Lanka a good source for?,To study the history of this country.,study the history,Easy
10,Sources of Studying History,After the 2nd century A.D. inscriptions were established to write records on various events such as... appreciating the service of some people. (Often implies recording the actions of the ruling king.),What was the purpose of inscriptions established after the 2nd century A.D.?,"To write records on various events, such as appreciating the service of some people.",Appreciating the service,Hard
10,Ancient Settlements,"Sri Lanka became a human habitation one hundred and twenty five thousand years ago. The Homo Sapiens, who are called the modern man, migrated to this country across the Indian Ocean.",When did Sri Lanka become a human habitation?,One hundred and twenty five thousand years ago.,One hundred and twenty five thousand years ago,Hard
10,Ancient Settlements,"Two cultural stages belonged to the pre-historic era of Sri Lanka; the first one was the Stone Age which existed for a long time; the second was the period in which there was more tendency of man towards depending on herbal food, use of metals and the beginning of living in permanent settlements.",What were the two cultural stages of Sri Lanka's pre-historic era?,"The two cultural stages were the Stone Age and the period of dependence on herbal food, use of metals, and permanent settlements.","Stone Age and the period of dependence on herbal food, use of metals, and permanent settlements",Medium
10,Ancient Settlements,"Among these, the word prehistoric era is used to introduce the Stone Age and the word proto-historic era is used to introduce the second period.","What is the purpose of using the terms ""prehistoric era"" and ""proto-historic era"" in historical classification?","The terms ""prehistoric era"" and ""proto-historic era"" are used to introduce the Stone Age and the second period, respectively.","The terms ""prehistoric era"" and ""proto-historic era"" are used to introduce the Stone Age and the second period, respectively.",Hard
10,Ancient Settlements,There is a gravel layer covered with sandy soil mixed with clay in the ground in the semi-arid zone in Sri Lanka. The archaeologists have named it as the Iranamadu formation.,What is the name given to the layer of gravel and soil mixture found in Sri Lanka's semi-arid zone?,The Iranamadu formation.,Iranamadu formation,Medium
10,Ancient Settlements,"When the gravel layer was dated using the scientific analysis, it proved that the gravel layer was 125000 years old.",What was the age of the gravel layer determined to be through scientific analysis?,"125,000 years old.","125,000 years old",Medium
10,Ancient Settlements,"The gravel layer found in the depth of 24 feet from the surface of the ground level in the area of Bundala, Wellegangoda in the same district belongs to a period of 80000 years back.","What is the age of the gravel layer found in the area of Bundala, Wellegangoda?","80,000 years.","80,000 years.",Medium
10,Ancient Settlements,"People of this era lived by hunting and roaming from one place to another and gathering what they could consume as food. Therefore, they spent mostly a nomadic life during the whole year.",How did people of pre historic era spend their life?,They spent mostly a nomadic life during the whole year.,nomadic life,Hard
10,Ancient Settlements,They had lived in open areas in dry season and in natural caves during rainy seasons.,Where did the people live during different seasons?,They lived in open areas during the dry season and in natural caves during the rainy season.,during different seasons,Medium
10,Ancient Settlements,Normally one group comprised of between 1525 members. The maximum number of members in such a group was believed to be around 50.,What is the typical number of members in a group?,15-25 members.,15-25 members,Easy
10,Ancient Settlements,Bellanbendipelessa (Outdoor camps in lowland wet zone),What is the name of the outdoor camp in low land wet zone?,Bellanbendipelessa,Bellanbendipelessa,Medium
10,Ancient Settlements,"The community of the Stone Age who lived in the lowland wet zone used mostly oysters living on the land as their food... In those areas (lowland dry zone) some animals, mostly living in the dry zone like deer and iguana, were hunted.",What did the Stone Age community in the lowland wet zone primarily eat?,Oysters living on the land.,Oysters living on land,Easy
10,Ancient Settlements,"The stone tools in small size, which are called geometric micro stone tools by the archaeologists, help gain a descriptive knowledge on the technology of the Stone Age.",What do archaeologists call small stone tools that help gain knowledge on the technology of the Stone Age?,Geometric micro stone tools.,Geometric micro stone tools.,Medium
10,Ancient Settlements,They had used more quartz and a little of Kahanda stones to make these micro stone tools.,What materials were used to make the micro stone tools?,Quartz and 'Kahanda' stones.,Quartz and stones.,Easy
10,Ancient Settlements,"Generally, the height of a grown male was 174 cm.",What is the average height of a grown male?,174 cm,174 cm,Hard
10,Ancient Settlements,A grown female was not more than 166 cm in height.,What is the maximum height of a grown female ?,166 cm,166 cm,Hard
10,Ancient Settlements,The size of the brain of a grown male was 1600 cm3.,What is the size of the brain of a grown male?,1600 cm3,1600 cm3,Hard
10,Ancient Settlements,"Using iron instead of the technology of stone tools existed during the prehistoric era, was started during this period.",When did the use of iron instead of stone tools begin?,During the prehistoric era.,During the prehistoric era,Medium
10,Ancient Settlements,The oldest proof about the proto-historic era of Sri Lanka belongs to 2400 B.C.,"What is the time ,oldest proof about the proto-historic era of Sri Lanka belongs to?",It belongs to 2400 B.C.,2400 B.C.,Hard
10,Ancient Settlements,Some practices such as using burnt pots and following a methodical burial system are prominent among them.,What are some practices that are prominent among certain groups?,Some practices such as using burnt pots and following a methodical burial system are prominent among them.,burnt pots and following a methodical burial system,Medium
10,Ancient Settlements,"The burials, which were made out of stone splinters... are called cist burials... those tombs are called urn burials.",What are the tombs called when made out of stone splinters?,Cist burials.,Cist burials.,Medium
10,Ancient Settlements,That house is 10.20m X 6.80m in size and of rectangular shape.,What is the size of the house?,10.20m X 6.80m,10.20m X 6.80m,Hard
10,Ancient Settlements,The walls of the house were made of wattle and daub and the roof was thatched with something like Iluk.,What was the material used to thatch the roof of the house?,Something like 'Iluk'.,Iluk,Medium
10,Ancient Settlements,"Among the other things found in the house, there were a few clay beads, an iron stick used to apply kohl on ladies eyes, two brown stones (ochre... used to colour the body)...",What were some of the items found in the house?,"Clay beads, an iron stick, and two brown stones.","Clay beads, an iron stick, and two brown stones",Easy
10,Ancient Settlements,"The bones of animals which were hunted by the inmates of the house for their meals... belong to animals like deer, cattle, wild boar, and giant squirrel.",What types of animals were hunted by the inmates of the house for their meals?,"Deer, cattle, wild boar, and giant squirrel.","Deer, cattle, wild boar, and giant squirrel.",Easy
10,Ancient Settlements,The settlements which developed themselves around a tank are referred to as Vapigama in literary sources.,What are the settlements around a tank referred to as in literary sources?,Vapigama.,Vapigama,Medium
10,Ancient Settlements,Kasikaragama - villages where farmers lived,What were the places where farmers lived?,Kasikaragama - villages.,Kasikaragama,Medium
10,Ancient Settlements,Kumbhakaragama - villages where potters lived,What were the villages where potters lived?,Kumbhakaragama.,Kumbhakaragama.,Easy
10,Ancient Settlements,A medium scale rural settlement was about 2 hectares in size.,What is the size of a medium scale rural settlement?,2 hectares.,2 hectares.,Hard
10,Ancient Settlements,A large scale urban settlement was more than 2 hectares.,What is the minimum size of a large scale urban settlement?,More than 2 hectares.,More than 2 hectares,Medium
10,Ancient Settlements,It has approximately been calculated that by the 6th century A.D. there was a population around 35000 in the ancient Magama city and the adjacent urban settlements.,What was the estimated population of the ancient city of Magama and its adjacent urban settlements around the 6th century A.D.?,"Approximately  35,000.",Thirty five thousand,Hard
10,Ancient Settlements,A panel consisting of ten chief householders was engaged in solving administrative issues in an area joined with ten villages. In inscriptions this panel has been introduced as Dasa Gam Eththan.,What was the name given to the panel of chief householders in the inscriptions?,Dasa Gam Eththan.,Dasa Gam Eththan.,Medium
10,Ancient Settlements,"There is a soil belt, settled in this way, stretching 32 kms from the sea coast to the interior parts of the country. This soil layer is known as Iranamadu Deposit (formation).",What is the name of the soil layer stretching from the sea coast to the interior parts of the country?,Iranamadu Deposit .,Iranamadu Deposit,Medium
10,Ancient Settlements,"The stone tools used by these people... and the bones of some extinct animals are deposited in the layers of soil mixed with gravel, which is called lode found in the mines about 90 feet deep from the ground level.",What is deposited in the layers of soil mixed with gravel in the mines?,The stone tools used by these people and the bones of some extinct animals.,Stone tools and bones,Medium
10,Ancient Settlements,Some evidences have been found in the cave Belilena in Kithulgala about seeds of the wild breadfruit which had been baked and eaten 12500 years ago.,What is the age of the seeds of wild breadfruit found in the cave 'Belilena'?,"12,500 years ago.","12,500 years ago.",Medium
10,Ancient Settlements,The remnants of the lagoon oysters found in Kithulgala Belilena have been identified to be mixed with salt brought from coastal areas.,What is found mixed with the remnants of lagoon oysters in Kithulgala Belilena?,Salt brought from coastal areas.,Salt from coastal areas.,Medium
10,Ancient Settlements,"The term 'Archaic Homo Sapiens', is used to name the earliest of the Homo Sapiens, who lived during the time period between 500000 and 200000 years.",What is the term used to describe the earliest Homo Sapiens?,The term 'Archaic Homo Sapiens' is used to describe the earliest Homo Sapiens.,Archaic Homo Sapiens,Easy
10,Ancient Settlements,"In those areas (lowland dry zone) some animals, mostly living in the dry zone like deer and iguana, were hunted.",What types of animals were hunted in the lowland dry zone?,Deer and iguana.,deer and iguana,Easy
10,Ancient Settlements,"This cave, located in Pahiyangala, Bulathsinhala in Kaluthara District...",Where is the Pahiyangala cave located?,Bulathsinhala in Kaluthara District., Bulathsinhala in Kaluthara,Easy
10,Ancient Settlements,"The area of the place, where the community belonging to Stone Age of Bellanbendipelassa lived in 120 square metres. Thirty human skeletons have been discovered from that place.",What is the area where the Stone Age community lived?,120 square metres.,120 square metres.,Hard
10,Ancient Settlements,"The area of the place, where the community belonging to Stone Age of Bellanbendipelassa lived... Thirty human skeletons have been discovered from that place.",What discovered in  the community belonging to the Stone Age of Bellanbendipelassa live?, Thirty human skeletons, Thirty human skeletons,Medium
10,Ancient Settlements,"According to the view of the anthropologists, the maximum lifespan of the prehistoric man may have been about 35-40 years.","What was the estimated maximum lifespan of prehistoric man, according to anthropologists?",About 35-40 years.,About 35-40 years,Medium
10,Ancient Settlements,On some occasions they had dug a pit with a piece of horn or a stick for the burial.,How did the ancient people bury their dead?,They had dug a pit with a piece of horn or a stick for the burial.,dug a pit with a piece of horn or a stick for the burial.,Medium
10,Ancient Settlements,"The prehistoric people preferred to eat snails. Specially, they had eaten tree-snails and oysters living in lagoons.",What did the prehistoric people prefer to eat?,Snails.,Snails.,Easy
10,Ancient Settlements,"In addition, some food full of starch such as yams Gonala, Katuala, seeds of Kithul and the kernel of Dothalu were eaten.",What types of food were eaten in addition to others?,"Some food full of starch such as yams, seeds of Kithul, and the kernel of Dothalu.","Food full of starch such as yams, seeds of Kithul, and the kernel of Dothalu",Medium
10,Ancient Settlements,"The stone tools in small size, which are called geometric micro stone tools by the archaeologists...",What are the small stone tools called by archaeologists?,Geometric micro stone tools.,Geometric micro stone tools,Easy
10,Ancient Settlements," Given below are several prehistoric outdoor camps and cave habitations, discovered so far.1. Minihagalkanda, Bundala, Pathirajawela (Outdoor camps in the coastal areas)",What are places discovered as prehistoric Outdoor camps in the coastal areas?,"Minihagalkanda, Bundala, Pathirajawela","Minihagalkanda, Bundala, Pathirajawela",Medium
10,Ancient Settlements,"Given below are several prehistoric outdoor camps and cave habitations, discovered so far 3. Pothana and Aligala in Sigiriya (Lowland dry zone caves)",What are places discovered as prehistoric Lowland dry zone caves?, Pothana and Aligala in Sigiriya , Pothana and Aligala in Sigiriya ,Medium
10,Ancient Settlements,They had used more quartz and a little of  Kahanda stones to make these micro stone tools.,What materials were used to make the micro stone tools?,Quartz and 'Kahanda' stones.,Quartz and stones,Easy
10,Ancient Settlements,"Apart from these, some tools such as hammers and grinding stones had been made using granite.",What materials were used to make some tools other than Quartz?,Granite and other materials.,Granite,Easy
10,Ancient Settlements,It was 920 cm3 in a grown female.,What is the volume of the brain of  grown female?,920 cm3,920 cm3,Hard
10,Ancient Settlements,Researchers have pointed out that there are a number of cultural and biological similarities between the people who lived in the Stone Age and the aborigines (Vedda community) in Sri Lanka.,What is a commonality observed between Stone Age people and the Vedda community in Sri Lanka?,There are cultural and biological similarities between them.,Cultural and biological similarities,Medium
10,Ancient Settlements,"A skull of a man perforated dividing it into two was found in an excavation there. The rough edges and the parts protruded outside the skull had been rubbed, leveled and one side of it painted with red ochre.",What was found in the excavation in cave of Rawana Ella?,A skull of a man perforated dividing it into two.,Skull of a man perforated dividing it into two,Medium
10,Ancient Settlements,The remnants of the lagoon oysters found in Kithulgala Belilena have been identified to be mixed with salt brought from coastal areas.,What is found mixed with the remnants of the lagoon oysters in Kithulgala Belilena?,Salt brought from coastal areas.,Salt ,Easy
10,Ancient Settlements,the community of the Stone Age who lived in the lowland wet zone used mostly oysters living on the land as their food.,What was the primary food source for the Stone Age community living in the lowland wet zone?,Oysters living on the land.,Oysters living on land.,Easy
10,Ancient Settlements,"During that time, they had stone tool technology. They were used to make equipment out of stones such as alabaster and Kahanda for their day-to-day use.",What materials were used to make equipment during that time?,Alabaster and Kahanda.,Alabaster and Kahanda,Medium
10,Ancient Settlements,"The term 'Archaic Homo Sapiens', is used to name the earliest of the Homo Sapiens, who lived during the time period between 500000 and 200000 years.",What is the term used to describe the earliest Homo Sapiens?,The term 'Archaic Homo Sapiens' is used to name the earliest of the Homo Sapiens.,Archaic Homo Sapiens,Easy
10,Ancient Settlements,"The burials, which were made out of stone splinters in the shape of squares, were covered with huge stone slabs. Some pots containing human remains had been deposited inside these burials. These are called cist burials.",What were the burials made of in the ancient site?,The burials were made out of stone splinters in the shape of squares.,Stone splinters in squares,Medium
