input_text,target_text
"task: emotion
chapter: 8.Kandyan Kingdom
topic: Grade 10: Beginning and Expansion of Kandyan Kingdom
source: The Kandyan kingdom was known by various names such as Senkadagala Nuwara, Udarata Rajadhaniya, Kande Nuwara, Mahanuwara Rajadhaniya. The capital of the Kanda Udarata Rajadhaniya was Kandy (Mahanuwara). It is a naturally protected location. The city of Kandy is protected by the river of Mahaweli. It is very difficult to access this city due to the ghats such as Balana and Hunnasgiriya. Further, the Kandyan kingdom consists of a balmy climate and a fertile land. King Senasammatha Vickramabahu made Kandy an independent kingdom for the first time. It was a provincial ruling unit under the Kotte kingdom during the ruling period of king Parakramabahu VI. Therefore, King Senasammatha Vickramabahu is considered as the founder of the Kandyan kingdom. The successor of king Senasammatha Vickramabahu was his son, Jayaweera Bandara (1511-1551). He ruled the kingdom, for a long time. He was a friend of king Mayadunne, who was the ruler of Seethawaka. In the incident Vijayaba Kollaya that took place against king Vijayabahu VI, who was the then ruler of Kotte, king Jayaweera Bandara supported king Mayadunne. After King Jayaweera Bandara, his son Karaliyedde Bandara acceded to the throne of Kand",proud
"task: sound_effects
chapter: 1.Industrial Revolution
topic: Expansion to Other Fields
source: The industrial revolution that took place in the fields of textile, coal and iron industries in Britain soon spread into the other fields also... [full text on expansion to transport (Macadam roads, Stephenson locomotive 1814, Fulton steamboat 1807, Bell steamship 1811, Daimler car 1885, Wright aeroplane 1903), communication (Bell telephone 1876, Penny Post 1840, Morse telegraph 1844, Marconi radio 1895, Baird TV), agriculture (enclosures mega farms, crop rotation,line sowing Tull, Bakewell breeding, machinery, Guano,chemical fertilizers, storage,transport lowering prices)]","horse_carriage, telegraph_beep, airplane_propeller, gentle_wind, chime"
"task: sound_effects
chapter: 5. Social Changes in Sri Lanka   under the British
topic: Economic & Social Changes
source: The foundation of Sri Lanka's traditional social, economic and cultural systems runs back to the Anuradapura era... [full text on traditional self-sufficient village economy (Aththama, Gamsabha, rajakariya); Colebrooke reforms (1833) ? land sales, abolish rajakariya ? wage labor, end monopolies, indirect taxes, savings bank; plantation crops (coffee boom,collapse, cinchona,cocoa limited, tea success, coconut native-led, rubber late boom); emergence middle class (contractors,arrack,graphite,wholesale,retail,transport,coconut, English-educated professionals); labor class (Indian estate workers, local urban laborers, unions,strikes, E.A. Gunasinghe,Ceylon Workers Congress, LSSP,Natesa Aiyar); cultural changes (Western education,missionary schools, European influence via clubs,resorts, adoption of Western dress,customs,architecture,food).]","bustling_market, train_whistle, protest_chant, gentle_wind, chime"
"task: narrate
chapter: 6.Historical Knowledge and Its Practical Application
topic: Grade 10: Local Food
source: From ancient time the people of this country consumed things which grew in the country. Evidence has been discovered on wild breadfruit and Atikesel which were consumed by the pre historic people who lived in the Beligala cave 10500 years ago. In the historical era paddy and Kurakkan were profusely used for food. Apart from these, Undu, green gram (Mun), sesame (Thala), marrow (Mae), Amu, Menari, Kongu, Waru, Yawa were also eaten. The historical books of Sri Lanka mention seven types of grain, which were used as food by ancient people. They are namely Sali, Veehi, Kedesa, Varaka, Kangu, Duma and Yawa. The Thonigala inscription, made by king Keerthi Sri Meghavarnabhaya (301 -328 A.D.), mentions Paddy, Undu, Mun (green gram) and Thala (sesame). Saddharmarathnawaliya mentions that the meat of peacock cooked in ghee and El rice (El Hal) was one of the most favourite foods among the chieftains in Sri Lanka in the 12th century A.D. Pala Maluwa and Kadi Embula with Niwudu rice was a most frequent meal of poor people in that time. Kady Embula is made of stale rice powder. Ancient Sri Lankans had a habit of drinking various types of gruels (Kenda). The words Yagu or Hambu had been used ","Ancient Sri Lankans ate natural, local foods. Prehistoric (10,500 years ago): Wild breadfruit, Atikesel (Beligala cave). Historical era staples: Paddy, Kurakkan; grains like Undu, Mun, Thala, Mae, Amu, Menari, Kongu, Waru, Yawa; seven grains (Sali, Veehi, Kedesa, Varaka, Kangu, Duma, Yawa). Thonigala inscription (Keerthi Sri Meghavarnabhaya, 301328 AD): Paddy, Undu, Mun, Thala. Chieftains favorites: Peacock meat in ghee, El Hal rice (12th century). Poor meals: Pala Maluwa, Kadi Embula with Niwudu rice. Desserts: Thala Guli (sesame balls). Yams: Wel Ala, Kukulala, Katu Ala, Kondola, Bathala, Sondala. Vegetables: Wetakolu, Thampala, Weraniya Dalu, Kara Kola, Lunuwila Kola, Labu, Puhul, Karabatu, Kekiri, Thibbatu, Nelambu Ala, Murunga. Cooking: Bedum (fry), Mellum (half-cooked leaves), Hodda (gravy), Anama,Embula,Niyambalawa curries. Spices (Kulu Badu,Thuna Paha): Lunu, Duru, Miris + Sudu,Kalu Duru, Koththamalli, Aba, Uluhal (or Asamodagam,Sathakuppa). Sours: Dehi, Dodam, Goraka, Nasnaran, Gadadehi; Karapincha. Oils: Dunthel, Githel (ghee), less Polthel. Dairy: Milk,curd common (Kirigeri cows). Gruels (Kenda,Yagu,Hambu,Kaadi): Diya Kenda (salty), Yawagu,Ulu Kenda (medicinal), Rasa Ulu Kenda (sweet with milk,honey,ghee,orange), Embul Kenda (herbal). Meat,fish: Land animals, fish (tax Mathrika Mathsya Bhagaya). Natural, nutritious diet for healthy farming life."
"task: emotion
chapter: 8.  World Wars and Conventions
topic: World War 1
source: The war that spread throughout the world between 1914 and 1918 is named as World War I... [full text on WWI (19141918 global spread); causes: Franco-German enmity (1870 unification,war, Alsace-Lorraine); William IIs aggressive policy,armament; colonial competition; nationalism,racism; alliances (Central: Germany,Austria,Italy; Allied: Britain,France,Russia); Sarajevo assassination 1914 (Franz Ferdinand); war spread (Austria vs. Serbia ? Russia,Germany,France,Belgium,Britain); U.S. entry (Lusitania 1915); Central defeat; results: Allied victory, Versailles Treaty (Germany punished: compensation, armament limits, Alsace-Lorraine to France, colonies divided), monarchy falls (Germany,Austria-Hungary,Turkey), new nations (Finland,Poland,Czechoslovakia), economic ruin, League of Nations.]",somber
"task: emotion
chapter: 7. Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West
topic: Grade 10: Downfall of Polonnaruwa
source: During the time when King Mihindu V was the last ruler of the Anuradhapura kingdom it collapsed due to Chola invasions and afterwards King Vijayabahu I liberated the country from the Cholas and united the country by making Polonnaruwa his capital. The political turmoil which prevailed after the demise of King Vijayabahu I due to the internal problems was ended and the country was reunited by King Parakramabahu I. He developed the capital Polonnaruwa further and made this country prosperous again by reconstructing the irrigation system. But, it seems that the Polonnaruwa kingdom fell into a track of gradual decline due to the political disorders emerged after the demise of King Parakramabahu I. After King Parakramabahu I, only King Nissankamalla carried out a strong ruling for nine years. There were several reasons for the gradual decline and the downfall of the Polonnaruwa kingdom. 1. Weak rulers came to power During a period of 29 years from the year 1186 in which King Parakramabahu Is demise took place and to the year 1215 in which the downfall of Polonnaruwa kingdom occurred, 12 rulers came to power from time to time. Among them, except for the 9 years ruling period of King Ni",somber
"task: sound_effects
chapter: 7. Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West
topic: Grade 10: Background of the Urban Life
source: The first urbanization in Sri Lanka is reflected by Anuradhapura which belongs to the North Central dry zone and ancient Magama city which had belonged to Southern and South eastern part of Sri Lanka. There were basic signs of development in these two cities by about 450 B.C. That does not mean by then the things such as walls, moats, and streets, which were essen tials for a city, had been constructed. A popula tion with a life condition which is needed for a city could be seen. You learnt in the second lesson that there is evidence, which goes back to 2400 B.C., that reflects that the proto-historical community who lived in this country abandoned their nomadic hunting life style and got used to an agricultural life style. The major change that occurred as they got used to agriculture was that they started to stay in one place for a long time. This was the basic reason for the origin of the most ancient villages in this country. Those who lived in these basic villages were engaged in agriculture and animal husbandry as their livelihood. They engaged in hunting too. Due to agriculture and animal husbandry their food safety was ensured. Unless those people, who were engaged in those","soft_background_music, rustling_grain, flowing_water, gentle_wind, distant_village_chatter, chime"
"task: sound_effects
chapter: 1.Industrial Revolution
topic: Effects on Sri Lanka
source: How the industrial revolution that started in Britain spread throughout the world within a short time has been explained above. Although the industrialization that took place in Britain and other European countries did not take place in Sri Lanka in the 19th century, the effects of the industrial revolution could be identified from Sri Lanka too. The major reason for that is, Sri Lanka being a colony of Britain when industrial revolution started. British people came to Sri Lanka and started mega scale cultivations. Many factories were started in connection to thus started cultivations such as tea, coconut, rubber and machines were imported from Britain to be used in those factories. Important incidents of this period:  Starting of a mill to pound coffee by the governor, Fredric North in 1804 AD  Using machines for activities of tea factories such as drying, grading and exporting  Using machines to prepare rubber for exporting  Introduction of Macadam method to build roads in 1885 T here was a need for manpower for the estates and factories and the labour class was formed by the people who worked there for salary. Landowners and factory owners became the affluent class and they ","tea_processing_machine, horse_carriage, telegraph_beep, gentle_wind, chime"
"task: emotion
chapter: 5. Social Changes in Sri Lanka   under the British
topic: Advantages of the British Reign
source: When Sri Lanka was a colony of British, its political and economic activities were handled in a way that all benefits went to colonists. Thus, Sri Lanka had been exploited for 133 years by the British. During this time they earned a vast wealth from the island to take to their country and used all resources of the island for their well being. Even under such conditions, there were certain benefits that the island could enjoy. Some examples are;  Spreading of English language in the island which was an international language  Development of transport and communication  Introduction of export plantation  Good effects of industrial revolution  Parliamentary system",reflective
"task: narrate
chapter: 1.Industrial Revolution
topic: Effects on Sri Lanka
source: How the industrial revolution that started in Britain spread throughout the world within a short time has been explained above. Although the industrialization that took place in Britain and other European countries did not take place in Sri Lanka in the 19th century, the effects of the industrial revolution could be identified from Sri Lanka too. The major reason for that is, Sri Lanka being a colony of Britain when industrial revolution started. British people came to Sri Lanka and started mega scale cultivations. Many factories were started in connection to thus started cultivations such as tea, coconut, rubber and machines were imported from Britain to be used in those factories. Important incidents of this period:  Starting of a mill to pound coffee by the governor, Fredric North in 1804 AD  Using machines for activities of tea factories such as drying, grading and exporting  Using machines to prepare rubber for exporting  Introduction of Macadam method to build roads in 1885 T here was a need for manpower for the estates and factories and the labour class was formed by the people who worked there for salary. Landowners and factory owners became the affluent class and they ","Though no factories like Britain, Industrial Revolution impacted colonial Sri Lanka: British planted mega estates (coffee 1804 mill Governor North, tea,rubber,coconut); imported machines for processing,export. Created wage labor class + wealthy,educated middle class (planters); capitalist import-export economy; banks for trade. Transport: Macadam roads (1885), iron bridges, railways (Colombo-Kandy 1867, extended Bandarawela 1899) for estate products. New cities grew (Gampola,Badulla,Ratnapura,Matale). Communication: Postal system (1815 chariot post, first Asian; stamp 1857, 340 offices 1903); telegram (1858)."
