Chapter,Question,CorrectAnswer,UniquePart,Year
Sources of Studying History,What is the source that is important to study trade and metal industry in ancient Sri Lanka?,Coins,Coins,2024
Sources of Studying History,What is the most prominent information mentioned in Brahmi inscription in this country?,Grant of caves to monks,Grant of caves to monks,2024
Sources of Studying History,The only source which provides information on technology during the prehistoric era is?,Stone tools,Stone tools,2024
Ancient Settlements ,What was the reason which led the prehistoric man to settle in places away from river valleys?,To avoid flood hazards,To avoid flood hazards,2024
Ancient Settlements ,What is the environmental zone where different types of oysters which were consumed by the prehistoric man were found abundant?,Lowland wet zone,Lowland wet zone,2024
Evolution of Political Power in Sri Lanka ,"What is the common factor regarding the kings, Vasabha, Mahasen and Parakramabahu the great?",Taking steps to develop irrigation,Taking steps to develop irrigation,2024
The Ancient Society of Sri Lanka ,Many trading organizations which were engaged in trading activities in this country during the Anuradhapura period were belonged to,the South Indians,the South Indians,2024
The Ancient Society of Sri Lanka ,What is meant by 'Vejjasala'?,Hospitals,Hospitals,2024
The Ancient Science and Technology in Sri Lanka ,What is the tributary of Mahaweli River?,Amban River,Amban River,2024
The Ancient Science and Technology in Sri Lanka ,What is the method that has been used to change the height of the water stream level in water fountains in Sigiriya?,to make the diameter of the holes in the stone splinters differently,make the diameter of the holes in the stone splinters differently,2024
Historical Knowledge and Its Practical Application ,"In what name, was the tax charged by the government for the chena cultivation known?",Kethi Ada,Kethi Ada,2024
Kandyan Kingdom,"What is the kingdom with which the Portuguese, the Dutch and the English had relations?",Kandyan,Kandyan,2024
Sri Lanka and the Western World,"During the medieval period, the monopoly of trade in Asia belonged to whom?",Muslims.,Muslims.,2024
Sri Lanka and the Western World,"In which battle, was the Portuguese army including Constantinu de Sa defeated?",Randeniwela,Randeniwela,2024
World Wars and Conventions,The leader who unified a large number of states and created a strong state called 'Germany' is?,Otto von Bismarck,Otto von Bismarck,2024
Significant Revolutions in the World,"If we do not capture power at this moment, history will not forgive us. To what revolution is this statement related?",Russian Revolution,Russian Revolution,2024
World Wars and Conventions,"What is the abbreviation used for the organization which is affiliated to the United Nations Organization, which has been established for the improvement of health conditions of the world community?",WHO,WHO,2024
Ancient Settlements ,What is the simple machine used to make clay pots in ancient times?,Sakaporuwa/potter’s wheel,"Sakaporuwa , potter’s wheel",2024
Evolution of Political Power in Sri Lanka ,Who was the first king of the Anuradhapura kingdom?,Pandukabhaya,Pandukabhaya,2024
Renaissance, Who invented the first printing machine?,Johannes Gutenberg,Gutenberg,2024
World Wars and Conventions,What was the passanger ship which was sunk by a German submarine during World War one?,Lusitania,Lusitania,2024
